feature,importance_mean,importance_std
origin,0.017843333333333284,0.00039969432764997673
sin_hour,0.016979999999999922,0.0005393205602113322
cos_hour,0.014649999999999977,0.0004082482904638634
dep_month,0.009963333333333288,0.0002499777767900113
dep_hour_utc,0.009526666666666647,0.0001811690432227289
reporting_airline,0.008629999999999952,0.00036478304054143954
dest,0.004416666666666624,8.576453553514222e-05
precip_1hr_inches,0.0017766666666666116,0.0002904402788105238
dep_dow,0.0012799999999999478,0.00017378147196986732
visibility_miles,0.0006133333333333176,0.00015195028426721261
weather_obs_lag_minutes,0.0005066666666666183,4.4969125210777296e-05
relative_humidity_pct,0.0002933333333332566,8.498365855987038e-05
wind_gust_knots,0.0001866666666665943,3.771236166326791e-05
wind_speed_knots,0.00013666666666663682,9.463379711053903e-05
dep_time_source,0.0,0.0
is_precip,0.0,0.0
temperature_f,-7.666666666672484e-05,3.6817870057260684e-05
